paper_id,citation,composition_label,ceria_dopant,dopant_fraction,secondary_phase,secondary_phase_wt_pct,synthesis_route,sintering_temp_C,pellet_thickness_um,relative_density_pct,measurement_method,atmosphere,conductivity_type,conductivity_S_cm,conductivity_temp_C,activation_energy_eV,pmax_mW_cm2,pmax_temp_C,ocv_V,fuel,durability_h,notes,extraction_confidence
ref08_CSDC-Na2CO3,"Raza et al. 2012, J. Power Sources 201:121",CSDC-Na2CO3 Sample-1 (sintered 600 C 3 h),Sm+Ca (co-doped),0.2,Na2CO3,,"co-precipitation (as reported in Raza 2010, JPS 195:6491)",600,800.0,,,,,,,,850.0,550.0,,H2,,"Cell: 13 mm diameter, 0.64 cm2 active area, 0.08 cm (800 um) total thickness (electrolyte-supported), cell sintered 650 C 30 min. Ag paste current collectors. Paper reports Pmax at 550 C of 900/850/800 mW/cm2 for the three samples but only explicitly states 'sample 2 sintered at 700 C have much better performance' -> Sample-2 = 900. Assignment of 850 to Sample-1 and 800 to Sample-3 is inferred (natural order); mapping is not certain from the text alone.",low
ref08_CSDC-Na2CO3,"Raza et al. 2012, J. Power Sources 201:121","CSDC-Na2CO3 Sample-2 (sintered 700 C 3 h, best performer)",Sm+Ca (co-doped),0.2,Na2CO3,,"co-precipitation (as reported in Raza 2010, JPS 195:6491)",700,800.0,,2-probe AC impedance,H2,total (H+/O2- dual),0.35,550.0,0.238,900.0,550.0,,H2,21.0,"Best-performing sample per text. Conductivity pellet separate from cell: 2.0 mm thick, 13 mm diameter, EIS 0.01 Hz - 1 MHz. Conductivity value 0.35 S/cm read from Fig 7 stability test at 550 C in H2 (starts ~0.35, drops to ~0.30 after 21 h; 'reduced marginally'). Paper also states general experimental range 'total conductivity 0.3-0.5 S/cm at 500-600 C' (used in Eq. 1 calculation). Ea = 0.238 eV from Arrhenius plot (paper does not resolve per-sample Ea; assigning to Sample-2 which is the reference material). Conductivity type: paper explicitly identifies dual H+/O2- (co-ionic) conduction. Durability 21 h at 550 C (7 h/day x 3 days) from stability test; conductivity reduced marginally over that period. Table 1 also reports CSDC-alone phase conductivity: 0.05 S/cm (air), 0.18 S/cm (H2) - these are CSDC without carbonate. Extraction confidence: low for this material because conductivity read from figure.",low
ref08_CSDC-Na2CO3,"Raza et al. 2012, J. Power Sources 201:121",CSDC-Na2CO3 Sample-3 (sintered 800 C 3 h),Sm+Ca (co-doped),0.2,Na2CO3,,"co-precipitation (as reported in Raza 2010, JPS 195:6491)",800,800.0,,,,,,,,800.0,550.0,,H2,,Pmax = 800 mW/cm2 at 550 C is inferred assignment (see Sample-1 note). Same base composition as Sample-1/-2 but sintered at highest temperature; often carbonate loss at high T reduces performance.,low
ref09_Carbonate-SDC-coreshell,"Raza et al. 2010, J. Nanosci. Nanotechnol. 10:1203","Ce12 (carbonate@SDC, (Ce+Sm):CO3 = 1:2 in synthesis)",Sm,0.2,Na2CO3 (amorphous shell around SDC core),,"one-step co-precipitation, calcined 800 C 4 h",800,800.0,,,,,,,,1180.0,540.0,,H2,,"Fully characterized sample. Ce:Sm = 4:1 in solution -> SDC = Ce0.8Sm0.2O1.9 (confirmed by EDX). EDX gives final SDC:Na2CO3 molar ratio ~1:0.5 (surplus Na2CO3 remained; NaNO3 volatilizes at 800 C). Particle sizes: BET 14.5 nm, XRD 12.6 nm, TEM 14 nm. Cell: 13 mm diameter, 0.8 mm total thickness, 0.7 cm2 active area, sintered 650 C 30 min in air, H2/air, 80-120 mL/min, 1 atm. Also Pmax = 1000 mW/cm2 at 520 C. No direct conductivity, activation energy, OCV, or durability values reported.",medium
ref09_Carbonate-SDC-coreshell,"Raza et al. 2010, J. Nanosci. Nanotechnol. 10:1203","Ce13 (carbonate@SDC, (Ce+Sm):CO3 = 1:3 in synthesis)",Sm,0.2,Na2CO3 (amorphous shell),,"one-step co-precipitation, calcined 800 C 4 h",800,,,,,,,,,,,,,,"Only XRD data reported (lattice parameter shown in Fig 2). No fuel-cell performance, conductivity, morphology or final composition analysis given for this sample. Excess Na2CO3 in synthesis = 0.15 mol (beyond the 1:1.5 needed for SDC precursor formation).",medium
ref09_Carbonate-SDC-coreshell,"Raza et al. 2010, J. Nanosci. Nanotechnol. 10:1203","Ce14 (carbonate@SDC, (Ce+Sm):CO3 = 1:4 in synthesis)",Sm,0.2,Na2CO3 (amorphous shell),,"one-step co-precipitation, calcined 800 C 4 h",800,,,,,,,,,,,,,,"Only XRD data reported (lattice parameter). No fuel-cell performance, conductivity or morphology analysis given. Excess Na2CO3 in synthesis = 0.25 mol.",medium
ref10_NK-CDC,"Abbas, Raza et al. 2011, J. Fuel Cell Sci. Technol. 8:041013",NK-CDC (Ce0.8Ca0.2O1.9 + Na2CO3:K2CO3 1:1 alkali carbonate coating),Ca,0.2,Na2CO3:K2CO3 (1:1 molar binary alkali carbonate),,"co-precipitation (nitrates + binary carbonate solution, dropwise)",700,250.0,,EIS,air,ionic (dual O2-/H+),0.1,600.0,0.2,567.0,550.0,1.0,H2,,"Ca:Ce = 1:4 (20%) explicit. CDC:(Na2CO3+K2CO3) molar ratio = 1:2.5 in synthesis. Cell: 13 mm diameter, 0.64 cm2 active area, 0.8 mm total (anode 0.35 + electrolyte 0.25 + cathode 0.20 mm), cell sintered 650 C 40 min. Conductivity pellet separate: 13 mm x 3 mm, sintered 700 C 1 h. EIS 0.1 Hz - 1 MHz. Paper reports conductivity measured in both air and H2 atmospheres (Fig 4): 'ionic conductivity in air atmosphere is greater than hydrogen atmosphere' in the 550-600 C region; both similar below 500 C. 0.1 S/cm at 600 C is the headline value (matched to air per Fig 4 trend). Corresponding Ea = 0.20 eV in air, 0.52 eV in H2 (both from Arrhenius linear fits, 400-600 C). OCV series: 1.0 V (550 C), 0.923 V (500 C), 0.987 V (450 C), 0.96 V (400 C) - non-monotonic. Pmax = 567 mW/cm2 at 550 C, current density 1726 mA/cm2. Fuel H2 (paper text has '1 ml/min' in one place and '110 ml/min' in another - the latter is consistent with other Raza-group papers and is used here; the '1 ml/min' is likely a typo). Oxidant: oxygen. conductivity_type: paper explicitly claims 'dual phase oxygen/proton conductor'.",high
ref11_LN-SDC,"Ali, Raza et al. 2018, ACS Appl. Mater. Interfaces (DOI 10.1021/acsami.7b17010)",N-SDC (Na2CO3-SDC single carbonate),Sm,0.2,Na2CO3,,co-precipitation/oxalate,800,1000.0,,4-probe DC,H2/O2,ionic (dual O2-/H+),0.052,600.0,0.53,488.0,600.0,0.91,H2,,"Ea in low-T range (350-450 C) = 1.04 eV; high-T range (450-600 C) recorded = 0.53 eV. Crystallite 36 nm, lattice 5.446 A, band gap 2.9 eV. R1 = 1.6 Ohm, C = 1.99e-8 F. SDC:carbonate molar ratio 1:2. Pellet: 13 mm, 0.64 cm2 active, 1 mm thick, pellet sintered 700 C 2 h for conductivity. FC test: 3-layer pellet with LiNiCuZn-oxide electrodes, H2 fuel (99.999%, 100 mL/min, 1 atm), air oxidant, 600 C. EIS 0.1 Hz - 5 MHz in H2.",high
ref11_LN-SDC,"Ali, Raza et al. 2018, ACS Appl. Mater. Interfaces (DOI 10.1021/acsami.7b17010)",L-SDC (Li2CO3-SDC single carbonate),Sm,0.2,Li2CO3,,co-precipitation/oxalate,800,1000.0,,4-probe DC,H2/O2,ionic (dual O2-/H+),0.02,600.0,0.58,435.0,600.0,0.89,H2,,"Ea 350-450 C = 0.73 eV; 450-600 C recorded = 0.58 eV. Crystallite 39 nm, lattice 5.447 A, band gap 3.01 eV. R1 = 2.0 Ohm, C = 1.67e-8 F.",high
ref11_LN-SDC,"Ali, Raza et al. 2018, ACS Appl. Mater. Interfaces (DOI 10.1021/acsami.7b17010)",K-SDC (K2CO3-SDC single carbonate),Sm,0.2,K2CO3,,co-precipitation/oxalate,800,1000.0,,4-probe DC,H2/O2,ionic (dual O2-/H+),0.006,600.0,0.61,463.0,600.0,0.91,H2,,"Ea 350-450 C = 0.35 eV; 450-600 C recorded = 0.61 eV. Crystallite 41 nm, lattice 5.446 A, band gap 2.95 eV. R1 = 1.9 Ohm, C = 1.59e-8 F.",high
ref11_LN-SDC,"Ali, Raza et al. 2018, ACS Appl. Mater. Interfaces (DOI 10.1021/acsami.7b17010)",LN-SDC ((Li/Na)2CO3-SDC binary carbonate),Sm,0.2,(Li/Na)2CO3 binary carbonate,,co-precipitation/oxalate,800,1000.0,,4-probe DC,H2/O2,ionic (dual O2-/H+),0.31,600.0,0.45,617.0,600.0,0.98,H2,,"Best-performing composition. Ea 350-450 C = 1.6 eV; 450-600 C recorded = 0.45 eV. Crystallite 21 nm (smallest), lattice 5.445 A, band gap 2.7 eV. R1 = 1.4 Ohm (lowest), C = 2.27e-8 F. Binary eutectic melting ~499 C. Li:Na carbonate ratio within the binary not stated.",high
ref11_LN-SDC,"Ali, Raza et al. 2018, ACS Appl. Mater. Interfaces (DOI 10.1021/acsami.7b17010)",NK-SDC ((Na/K)2CO3-SDC binary carbonate),Sm,0.2,(Na/K)2CO3 binary carbonate,,co-precipitation/oxalate,800,1000.0,,4-probe DC,H2/O2,ionic (dual O2-/H+),0.2,600.0,0.4,582.0,600.0,0.97,H2,,"Ea 350-450 C = 1.86 eV; 450-600 C recorded = 0.40 eV. Crystallite 25 nm, lattice 5.446 A, band gap 2.6 eV (smallest). R1 = 1.8 Ohm, C = 1.38e-8 F. Binary eutectic ~695 C. Na:K ratio not stated.",high
ref11_LN-SDC,"Ali, Raza et al. 2018, ACS Appl. Mater. Interfaces (DOI 10.1021/acsami.7b17010)",LK-SDC ((Li/K)2CO3-SDC binary carbonate),Sm,0.2,(Li/K)2CO3 binary carbonate,,co-precipitation/oxalate,800,1000.0,,4-probe DC,H2/O2,ionic (dual O2-/H+),0.12,600.0,0.49,562.0,600.0,0.96,H2,,"Ea 350-450 C = 1.6 eV; 450-600 C recorded = 0.49 eV. Crystallite 29 nm, lattice 5.445 A, band gap 2.8 eV. R1 = 2.3 Ohm, C = 1.72e-8 F. Binary eutectic ~490 C. Li:K ratio not stated.",high
ref11_LN-SDC,"Ali, Raza et al. 2018, ACS Appl. Mater. Interfaces (DOI 10.1021/acsami.7b17010)",LNK-SDC ((Li/Na/K)2CO3-SDC ternary carbonate),Sm,0.2,(Li/Na/K)2CO3 ternary carbonate,,co-precipitation/oxalate,800,1000.0,,4-probe DC,H2/O2,ionic (dual O2-/H+),0.094,600.0,0.51,525.0,600.0,0.92,H2,,"Ea 350-450 C = 1.3 eV; 450-600 C recorded = 0.51 eV. Crystallite 32 nm, lattice 5.442 A (smallest), band gap 2.87 eV. R1 = 1.85 Ohm, C = 1.76e-8 F. Ternary eutectic melting ~400 C. Li:Na:K ratio within the ternary not stated.",high
ref12_Ba-SDC,"Raza et al. 2015, Appl. Phys. Lett. 107:183903","Ba-SDC nanocomposite (Ce0.8Sm0.2O2-delta + Ba(NO3)2 addition, Ce:Sm:Ba = 4:1:1 molar)",Sm,0.2,Ba-Sm oxide (from Ba(NO3)2 added to SDC solution; XRD shows two phases: SDC + barium-doped samarium oxide),,"wet chemical (SDC solution prepared first, then Ba(NO3)2 added dropwise; dried 110 C 1 h, sintered 800 C 4 h in air)",800,1000.0,90.0,2-probe AC (paper also mentions DC microohmmeter; EIS 0.01 Hz - 1 MHz),H2,ionic (dual O2-/H+; proton-dominant),0.19,600.0,,550.0,550.0,,H2,,"Proton conductivity 0.19 S/cm at 600 C in H2 (body + conclusion); note abstract states 0.19 S/cm at 460 C - internal inconsistency, 600 C used per body/conclusion. Oxygen ion conductivity in air = 0.015 S/cm at 600 C. Ionic transport number ti = 0.95 (paper). Density measured by He pycnometry 'estimated to be 90% higher' - interpreted as relative_density_pct = 90 (wording ambiguous). Sm:Ce = 1:4 (0.2). Ba is not a Ce-site dopant (added after SDC solution formation); it forms a second phase (Ba-doped Sm oxide) per XRD -> secondary_phase field. Fuel cell tested with both H2 and CH4 (natural gas); Pmax = 550 mW/cm2 at 550 C (fuel not resolved per curve in text; paper says 'works equally well with both'). OCV values not explicitly reported (only qualitative discussion of low OCV below carbonate melting point). Activation energy not calculated in this paper. Cell: 13 mm x 1 mm, active area 0.64 cm2, cell pressed at 280 kg/cm2 and sintered 650 C 1 h. Note: paper title and figure captions call material 'BaSDC-carbonate' but no carbonate is added in synthesis - the 'carbonate' in the figure label appears to be a mislabel (only Ba(NO3)2 salt, no CO3 source).",medium
